customer_id,days_active_first_7,days_active_first_30,days_active_first_90,time_to_first_value,logins_first_30,jobs_posted,candidates_viewed,churn_flag
1,0,0,0,4,0,0,0,yes
2,0,0,0,3,0,0,0,yes
3,0,0,0,4,0,0,0,yes
4,0,0,0,3,0,0,0,yes
5,4,10,38,4,12,1,10,no
6,0,0,0,3,0,0,0,yes
7,0,0,0,3,0,0,0,yes
8,0,0,0,4,0,0,0,yes
9,0,0,0,4,0,0,0,yes
10,0,0,0,3,0,0,0,yes
11,0,0,0,4,0,0,0,yes
12,0,0,0,3,0,0,0,yes
13,0,0,0,4,0,0,0,yes
14,0,0,0,5,0,0,0,yes
15,0,0,0,4,0,0,0,yes
16,4,27,21,1,14,0,0,yes
17,0,0,0,4,0,0,0,yes
18,0,0,0,3,0,0,0,yes
19,4,25,26,3,10,1,11,no
20,5,6,63,3,14,2,14,no
21,0,0,0,3,0,0,0,yes
22,0,0,0,2,0,0,0,yes
23,0,0,0,6,0,0,0,yes
24,0,0,0,3,0,0,0,yes
25,0,0,0,5,0,0,0,yes
26,0,0,0,5,0,0,0,yes
27,0,0,0,3,0,0,0,yes
28,0,0,0,4,0,0,0,yes
29,0,0,0,4,0,0,0,yes
30,0,0,0,5,0,0,0,yes
31,0,0,0,3,0,0,0,yes
32,0,0,0,3,0,0,0,yes
33,0,0,0,3,0,0,0,yes
34,4,28,29,4,4,1,9,no
35,0,0,0,3,0,0,0,yes
36,0,0,0,3,0,0,0,yes
37,0,0,0,4,0,0,0,yes
38,0,0,0,4,0,0,0,yes
39,0,0,0,3,0,0,0,yes
40,0,0,0,2,0,0,0,yes
41,0,0,0,1,0,0,0,yes
42,0,0,0,4,0,0,0,yes
43,0,0,0,3,0,0,0,yes
44,0,0,0,2,0,0,0,yes
45,2,30,81,3,13,0,0,no
46,0,0,0,3,0,0,0,yes
47,0,0,0,4,0,0,0,yes
48,0,0,0,2,0,0,0,yes
49,0,0,0,3,0,0,0,yes
50,0,0,0,3,0,0,0,yes
51,0,0,0,3,0,0,0,yes
52,0,0,0,3,0,0,0,yes
53,0,0,0,1,0,0,0,yes
54,0,0,0,3,0,0,0,yes
55,0,0,0,4,0,0,0,yes
56,0,0,0,2,0,0,0,yes
57,0,0,0,5,0,0,0,yes
58,0,0,0,1,0,0,0,yes
59,0,0,0,2,0,0,0,yes
60,0,0,0,3,0,0,0,yes
61,0,0,0,4,0,0,0,yes
62,0,0,0,3,0,0,0,yes
63,0,0,0,4,0,0,0,yes
64,0,0,0,3,0,0,0,yes
65,0,0,0,3,0,0,0,yes
66,0,0,0,5,0,0,0,yes
67,0,0,0,4,0,0,0,yes
68,6,18,40,2,14,0,0,no
69,0,0,0,4,0,0,0,yes
70,0,0,0,4,0,0,0,yes
71,0,0,0,5,0,0,0,yes
72,0,0,0,2,0,0,0,yes
73,0,0,0,4,0,0,0,yes
74,0,0,0,3,0,0,0,yes
75,6,28,62,3,1,4,56,no
76,0,0,0,5,0,0,0,yes
77,0,0,0,1,0,0,0,yes
78,0,0,0,3,0,0,0,yes
79,0,0,0,3,0,0,0,yes
80,0,0,0,1,0,0,0,yes
81,0,0,0,3,0,0,0,yes
82,0,0,0,2,0,0,0,yes
83,0,0,0,2,0,0,0,yes
84,6,9,83,4,8,0,0,no
85,0,0,0,4,0,0,0,yes
86,0,0,0,2,0,0,0,yes
87,0,0,0,3,0,0,0,yes
88,2,10,11,3,12,2,22,no
89,0,0,0,4,0,0,0,yes
90,0,0,0,5,0,0,0,yes
91,0,0,0,3,0,0,0,yes
92,0,0,0,5,0,0,0,yes
93,0,0,0,5,0,0,0,yes
94,4,13,6,3,3,1,12,yes
95,0,0,0,4,0,0,0,yes
96,0,0,0,3,0,0,0,yes
97,0,0,0,3,0,0,0,yes
98,0,0,0,1,0,0,0,yes
99,0,0,0,2,0,0,0,yes
100,3,3,0,3,1,2,16,yes
101,0,0,0,4,0,0,0,yes
102,0,0,0,2,0,0,0,yes
103,0,0,0,6,0,0,0,yes
104,0,0,0,2,0,0,0,yes
105,0,0,0,3,0,0,0,yes
106,6,7,5,1,7,2,20,yes
107,6,8,30,3,4,1,7,no
108,0,0,0,4,0,0,0,yes
109,0,0,0,5,0,0,0,yes
110,0,0,0,2,0,0,0,yes
111,0,0,0,1,0,0,0,yes
112,0,0,0,3,0,0,0,yes
113,0,0,0,4,0,0,0,yes
114,4,4,22,3,11,1,7,no
115,0,0,0,6,0,0,0,yes
116,0,0,0,5,0,0,0,yes
117,0,0,0,4,0,0,0,yes
118,0,0,0,4,0,0,0,yes
119,0,0,0,3,0,0,0,yes
120,0,0,0,2,0,0,0,yes
121,0,0,0,3,0,0,0,yes
122,0,0,0,5,0,0,0,yes
123,0,0,0,3,0,0,0,yes
124,0,0,0,4,0,0,0,yes
125,0,0,0,4,0,0,0,yes
126,4,26,48,4,3,2,18,no
127,0,0,0,3,0,0,0,yes
128,0,0,0,4,0,0,0,yes
129,0,0,0,4,0,0,0,yes
130,0,0,0,3,0,0,0,yes
131,0,0,0,3,0,0,0,yes
132,0,0,0,4,0,0,0,yes
133,0,0,0,3,0,0,0,yes
134,0,0,0,2,0,0,0,yes
135,7,12,80,4,3,0,0,no
136,0,0,0,1,0,0,0,yes
137,0,0,0,1,0,0,0,yes
138,0,0,0,2,0,0,0,yes
139,0,0,0,5,0,0,0,yes
140,0,0,0,3,0,0,0,yes
141,0,0,0,3,0,0,0,yes
142,0,0,0,4,0,0,0,yes
143,0,0,0,2,0,0,0,yes
144,0,0,0,4,0,0,0,yes
145,0,0,0,4,0,0,0,yes
146,0,0,0,4,0,0,0,yes
147,0,0,0,1,0,0,0,yes
148,0,0,0,4,0,0,0,yes
149,0,0,0,3,0,0,0,yes
150,2,6,23,3,1,0,0,no
151,0,0,0,4,0,0,0,yes
152,0,0,0,2,0,0,0,yes
153,0,0,0,1,0,0,0,yes
154,0,0,0,3,0,0,0,yes
155,0,0,0,3,0,0,0,yes
156,0,0,0,5,0,0,0,yes
157,0,0,0,1,0,0,0,yes
158,0,0,0,5,0,0,0,yes
159,0,0,0,4,0,0,0,yes
160,0,0,0,3,0,0,0,yes
161,0,0,0,3,0,0,0,yes
162,0,0,0,3,0,0,0,yes
163,0,0,0,5,0,0,0,yes
164,0,0,0,4,0,0,0,yes
165,0,0,0,4,0,0,0,yes
166,6,30,53,4,1,4,48,no
167,0,0,0,2,0,0,0,yes
168,0,0,0,4,0,0,0,yes
169,0,0,0,1,0,0,0,yes
170,0,0,0,4,0,0,0,yes
171,0,0,0,2,0,0,0,yes
172,0,0,0,2,0,0,0,yes
173,0,0,0,3,0,0,0,yes
174,0,0,0,4,0,0,0,yes
175,0,0,0,5,0,0,0,yes
176,0,0,0,2,0,0,0,yes
177,0,0,0,3,0,0,0,yes
178,0,0,0,2,0,0,0,yes
179,4,12,17,3,14,2,20,no
180,7,9,45,5,0,1,8,no
181,5,9,54,5,6,0,0,no
182,0,0,0,1,0,0,0,yes
183,3,22,37,3,13,1,9,no
184,0,0,0,2,0,0,0,yes
185,0,0,0,3,0,0,0,yes
186,0,0,0,4,0,0,0,yes
187,0,0,0,4,0,0,0,yes
188,0,0,0,2,0,0,0,yes
189,0,0,0,4,0,0,0,yes
190,0,0,0,4,0,0,0,yes
191,0,0,0,2,0,0,0,yes
192,0,0,0,2,0,0,0,yes
193,0,0,0,4,0,0,0,yes
194,0,0,0,3,0,0,0,yes
